start,end
3.99,4.22
4.625,4.86
5.205,5.33
5.775,5.865
6.335,6.475
6.89,6.99
7.435,7.545
8.0,8.095
8.545,8.655
9.11,9.25
10.21,10.365
10.78,10.87
11.34,11.48
11.885,12.07
12.42,12.47
12.975,13.135
13.525,13.675
14.09,14.175
14.645,14.84
15.27,15.39
15.775,16.0
16.37,16.845
17.15,17.32
17.62,17.93
18.195,18.765
20.33,20.505
20.905,21.045
21.46,21.625
22.0,22.155
22.56,22.745
23.095,23.28
23.645,23.71
24.2,24.345
24.75,25.03
25.29,25.34
25.83,25.905
26.355,26.5
26.905,26.98
27.44,27.635
28.105,28.155
28.525,28.66
29.1,29.18
29.65,29.785
30.185,30.365
30.745,30.885
31.315,31.39
31.87,31.975
32.5,32.64
32.825,33.255
